Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,0,0.6875,0.40000004,677.0,922.0,0.0,187.09549,187.09549
Thumb,2,0.7375,0.40000004,675.0,923.0,0.0,187.09549,187.09549
Thumb,2,0.7375,0.40000004,670.0,929.0,0.0,187.09549,187.09549
Thumb,2,0.7375,0.40000004,660.0,946.0,0.0,187.09549,187.09549
Thumb,2,0.725,0.40000004,641.0,982.0,0.0,187.09549,187.09549
Thumb,2,0.71250004,0.40000004,593.0,1074.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,557.0,1153.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,523.0,1243.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.33333334,497.0,1342.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,474.0,1475.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,455.0,1630.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,452.0,1700.0,0.0,155.0587,155.0587
Thumb,1,0.6375,0.33333334,452.0,1700.0,0.0,155.0587,155.0587
Thumb,0,0.6875,0.40000004,724.0,1006.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,721.0,1007.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,718.0,1010.0,0.0,187.09549,187.09549
Thumb,2,0.6875,0.40000004,712.0,1016.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,691.0,1046.0,0.0,187.09549,187.09549
Thumb,2,0.65000004,0.33333334,651.0,1130.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,637.0,1167.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,607.0,1258.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,577.0,1370.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,554.0,1479.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,544.0,1569.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,543.0,1640.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,545.0,1687.0,0.0,155.0587,155.0587
Thumb,1,0.625,0.33333334,545.0,1687.0,0.0,155.0587,155.0587
Thumb,0,0.7,0.40000004,733.0,977.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,731.0,977.0,0.0,187.09549,187.09549
Thumb,2,0.7,0.40000004,724.0,984.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.33333334,704.0,1012.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,669.0,1074.0,0.0,155.0587,155.0587
Thumb,2,0.65000004,0.33333334,620.0,1173.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,580.0,1271.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,553.0,1372.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,534.0,1476.0,0.0,155.0587,155.0587
Thumb,2,0.6375,0.33333334,518.0,1570.0,0.0,155.0587,155.0587
Thumb,2,0.625,0.33333334,509.0,1643.0,0.0,155.0587,155.0587
Thumb,2,0.6125,0.33333334,506.0,1664.0,0.0,155.0587,155.0587
Thumb,1,0.6125,0.33333334,506.0,1664.0,0.0,155.0587,155.0587
Thumb,0,0.6875,0.40000004,770.0,928.0,0.0,187.09549,187.09549
Thumb,2,0.675,0.40000004,765.0,930.0,0.0,187.09549,187.09549
Thumb,2,0.6625,0.33333334,749.0,945.0,0.0,155.0587,155.0587
Thumb,2,0.6625,0.33333334,706.0,997.0,0.0,155.0587,155.0587
