Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,0,0.5625,0.21428573,163.0,1298.0,0.0,95.966995,95.966995
Thumb,2,0.7875,0.39285716,162.0,1299.0,0.0,146.579,146.579
Thumb,2,0.85,0.4107143,161.0,1301.1874,0.0,159.232,159.232
Thumb,2,0.925,0.42857146,172.56993,1302.0,0.0,159.232,159.232
Thumb,2,0.9125,0.4107143,216.85925,1297.4847,0.0,159.232,159.232
Thumb,2,0.90000004,0.4107143,302.8058,1279.5758,0.0,159.232,159.232
Thumb,2,0.875,0.35714287,407.82004,1259.2034,0.0,133.926,133.926
Thumb,2,0.83750004,0.35714287,520.8301,1240.7866,0.0,133.926,133.926
Thumb,2,0.83750004,0.3214286,598.2523,1236.6796,0.0,121.272995,121.272995
Thumb,2,0.83750004,0.3214286,646.5546,1236.3741,0.0,121.272995,121.272995
Thumb,2,0.825,0.3214286,688.36176,1240.7069,0.0,121.272995,121.272995
Thumb,2,0.825,0.3214286,715.20776,1241.0189,0.0,121.272995,121.272995
Thumb,2,0.8125,0.3214286,734.45374,1244.4154,0.0,121.272995,121.272995
Thumb,2,0.7875,0.30357143,748.5919,1247.0,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.2857143,751.0,1247.0,0.0,108.619995,108.619995
Thumb,1,0.71250004,0.2857143,751.0,1247.0,0.0,108.619995,108.619995
Thumb,0,0.90000004,0.42857146,284.0,1267.0,0.0,159.232,159.232
Thumb,2,0.925,0.4464286,286.0,1265.0,0.0,171.885,171.885
Thumb,2,0.925,0.4107143,316.17584,1253.5295,0.0,159.232,159.232
Thumb,2,0.90000004,0.4107143,387.52695,1240.5789,0.0,159.232,159.232
Thumb,2,0.875,0.35714287,474.69614,1228.095,0.0,133.926,133.926
Thumb,2,0.85,0.35714287,562.2777,1225.705,0.0,133.926,133.926
Thumb,2,0.83750004,0.33928573,651.28644,1218.1802,0.0,133.926,133.926
