Finger,Type,Pressure,Size,X,Y,Orientation,Major,Minor
Thumb,0,0.675,0.3214286,271.0,830.0,0.0,121.272995,121.272995
Thumb,2,0.725,0.3214286,292.16528,850.7686,0.0,121.272995,121.272995
Thumb,2,0.77500004,0.3214286,334.96017,893.62354,0.0,121.272995,121.272995
Thumb,2,0.77500004,0.33928573,387.0746,949.27673,0.0,133.926,133.926
Thumb,2,0.8,0.33928573,432.82867,1007.0654,0.0,133.926,133.926
Thumb,2,0.8,0.33928573,471.89175,1067.0605,0.0,133.926,133.926
Thumb,2,0.7875,0.33928573,501.42877,1127.2732,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,519.8537,1185.7236,0.0,133.926,133.926
Thumb,2,0.77500004,0.33928573,529.15735,1232.6547,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,532.21216,1269.97,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,533.0,1298.4608,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,532.6477,1319.8751,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,530.7886,1339.6915,0.0,133.926,133.926
Thumb,2,0.725,0.3214286,528.43146,1357.7057,0.0,121.272995,121.272995
Thumb,2,0.6875,0.30357143,526.0,1365.0,0.0,121.272995,121.272995
Thumb,1,0.6875,0.30357143,526.0,1365.0,0.0,121.272995,121.272995
Thumb,0,0.75,0.33928573,303.0,831.0,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,313.90622,851.465,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,345.36578,924.6038,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,389.13898,1013.4988,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,429.49265,1114.4829,0.0,133.926,133.926
Thumb,2,0.7375,0.3214286,465.66757,1218.5042,0.0,121.272995,121.272995
Thumb,2,0.71250004,0.3214286,478.57562,1302.5441,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,483.0,1369.4951,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,483.0,1408.2332,0.0,121.272995,121.272995
Thumb,2,0.6875,0.30357143,481.5901,1439.7388,0.0,121.272995,121.272995
Thumb,2,0.6875,0.30357143,480.62924,1457.2246,0.0,121.272995,121.272995
Thumb,2,0.5375,0.26785716,480.0,1464.0,0.0,108.619995,108.619995
Thumb,1,0.5375,0.26785716,480.0,1464.0,0.0,108.619995,108.619995
Thumb,0,0.71250004,0.3214286,317.0,807.0,0.0,121.272995,121.272995
Thumb,2,0.7625,0.3214286,334.9258,840.14795,0.0,121.272995,121.272995
Thumb,2,0.7625,0.33928573,362.23538,896.5711,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,394.63986,976.91956,0.0,133.926,133.926
Thumb,2,0.75,0.33928573,425.82568,1073.068,0.0,133.926,133.926
Thumb,2,0.725,0.33928573,459.89905,1176.766,0.0,133.926,133.926
Thumb,2,0.725,0.3214286,478.02316,1272.3528,0.0,133.926,133.926
Thumb,2,0.71250004,0.30357143,485.3997,1346.1912,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,485.7067,1397.1592,0.0,121.272995,121.272995
Thumb,2,0.6875,0.30357143,484.65802,1434.1039,0.0,121.272995,121.272995
Thumb,2,0.675,0.30357143,484.0,1454.268,0.0,121.272995,121.272995
Thumb,2,0.575,0.26785716,484.0,1457.0,0.0,108.619995,108.619995
Thumb,1,0.575,0.26785716,484.0,1457.0,0.0,108.619995,108.619995
Thumb,0,0.77500004,0.35714287,345.0,823.0,0.0,133.926,133.926
Thumb,2,0.7625,0.35714287,350.63397,832.85944,0.0,133.926,133.926
Thumb,2,0.7625,0.35714287,387.8682,916.48364,0.0,133.926,133.926
Thumb,2,0.7625,0.33928573,413.35434,1019.8756,0.0,133.926,133.926
Thumb,2,0.7375,0.33928573,449.5533,1132.2892,0.0,133.926,133.926
Thumb,2,0.71250004,0.3214286,473.95224,1249.6179,0.0,121.272995,121.272995
Thumb,2,0.7,0.30357143,480.56012,1343.8763,0.0,121.272995,121.272995
